name,description,card_type,landscape,cost,atk,def,ability,deck_info,image_name
Eye Guy,"At the start of your turn, look at the top card of your deck. You may put it on the bottom of your deck.",Creature,Useless Swamp,1,1,8,Continuous,For the Glory! Booster Pack (FTG) - Uncommon,Eye Guy.jpg
Fairy Shepard,Each Adjacent NiceLands Creature has +2 DEF.,Creature,NiceLands,2,2,9,Continuous,Princess Bubblegum's NiceLands Deck (CP3) - 1,Fairy Shepard.jpg
Falling Star,Creatures you control take no Damage from opposing Creatures this turn.,Spell,NiceLands,2,,,,Princess Bubblegum's NiceLands Deck (CP3) - 1,Falling Star.jpg
Family Gathering,Choose another player and a Landscape you control. Draw a card for each of their Creatures that match that Landscape.,Spell,Rainbow,0,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Family Gathering.jpg
Fancy Pants Gnome,FLOOP >>> Deal 1 Damage to each opposing Creature that is on a Cornfield Landscape.,Creature,Useless Swamp,1,1,6,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Fancy Pants Gnome.jpg
Fancy Spa,"At the start of your Fight Phase, if you control an exhausted Creature on this Landscape, draw a card.",Building,Blue Plains,1,,,,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Fancy Spa.jpg
Fancy Zebracorn,+1 DEF for each different Landscape type you control.,Creature,Cornfield,1,2,4,Continuous,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Fancy Zebracorn.jpg
Farmhouse,Farmhouse counts as an additional Cornfield Landscape you control.,Building,Cornfield,1,,,,Cake's Cornfield Deck (CP6) - 1,Farmhouse.jpg
Fatapillar,+2 ATK for every 5 cards in your discard pile.,Creature,Useless Swamp,2,0,3,Continuous,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Fatapillar.jpg
Fatigued Librarian,"Fatigued Librarian comes into play exhausted and does not ready at the start of your turn. Whenever Fatigued Librarian changes Lanes, ready it.",Creature,Blue Plains,1,3,4,Trigger,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Fatigued Librarian.jpg
Feedman,"When Feedman enters play, the next Creature you play this turn costs 1 less to play.",Creature,Cornfield,1,1,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Feedman.jpg
Fellowship,"During your and your Teammate's Fight Phase, the first time Damage is deal to an opponent, the other Teammate may deal 1 Damage to target Creature in 1 of their Lanes.",Teamwork,NiceLands,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Fellowship.jpg
Fiddling Ferret,"FLOOP >>> Draw a card, and then discard a card. If you discard a Rainbow card this way, gain 1 Action.",Creature,Blue Plains,1,1,6,FLOOP,Fionna's Blue Plains Deck (CP6) - 1,Fiddling Ferret.jpg
Field of Nightmares,Deal 1 Damage to your opponent for each card in his hand.,Spell,Cornfield,1,,,,Jake's Cornfield Deck (CP1) - 2,Field of Nightmares.jpg
Field Reaper,"Additional Cost: Discard a card. When Field Reaper enters play, move target Creature in this Lane to an adjacent empty Lane on your side.",Creature,Cornfield,2,1,4,Entering Play,Jake's Cornfield Deck (CP1) - 1,Field Reaper.jpg
Field Stalker,"At the start of your turn, each player draws a card.",Creature,Cornfield,1,1,10,Continuous,Jake's Cornfield Deck (CP1) - 2,Field Stalker.jpg
Finn,"Creatures you control take no Damage on them have ""FLOOP >>> Deal 1 Damage to target Creature.""",Hero,,,,,,Hero Pack #1 (HP1) - 1,Finn.jpg
Fionna,"While you control only one Landscape type, your Rainbow Creatures have +1 ATK.",Hero,,,,,,Fionna's Blue Plains Deck (CP6) - 1,Fionna.jpg
Firm Handshake,Deal 5 Damage to yourself and target opponent.,Spell,Rainbow,2,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Firm Handshake.jpg
Fisher Fish,"If Fisher Fish enters play onto a Blue Plains Landscape, deal 2 Damage to each opposing player.",Creature,Useless Swamp,1,2,6,Entering Play,For the Glory! Booster Pack (FTG) - Common,Fisher Fish.jpg
Floating Ice Palace,Your Creature on this Landscape has +1 ATK during your turn for each Landscape with a Frozen token on it.,Building,IcyLands,2,,,,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Floating Ice Palace.jpg
Fluffy Fox,"While Fluffy Fox has 4 or more Damage on it, it ignores the first 2 Damage dealt to it by opposing Creatures.",Creature,NiceLands,1,2,6,,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Fluffy Fox.jpg
Fly Swatter,"FLOOP >>> Each opponent discards a card with cost 0, or reveals a hand with none.",Creature,Useless Swamp,1,1,6,FLOOP,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Fly Swatter.jpg
Fountain of Tears,"While your Creature in this Lane has exactly 3 Damage on it, it has +3 ATK.",Building,Rainbow,0,,,,For the Glory! Booster Pack (FTG) - Rare,Fountain of Tears.jpg
Four Star Fudge,"Each time a Landscape becomes Frozen, draw a card.",Creature,IcyLands,2,2,9,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Four Star Fudge.jpg
Free Fall,Each of your Creatures has +1 ATK this turn for each Creature that entered play this turn.,Spell,SandyLands,1,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Free Fall.jpg
Freeze Ray,Freeze target Landscape and then draw a card.,Spell,IcyLands,1,,,,Ice King's IcyLands Deck (CP4) - 2,Freeze Ray.jpg
Freezing Point,Freeze each of your opponent's Landscapes.,Spell,IcyLands,2,,,,Ice King's IcyLands Deck (CP4) - 2,Freezing Point.jpg
Friendship Bracelet,Swap any amount of Damage between two Creatures you control.,Spell,Rainbow,0,,,,Fionna's Blue Plains Deck (CP6) - 2,Friendship Bracelet.jpg
Fright Tower,Pay 1 Action >>> Target Creature in this Lane has +1 ATK this turn for every 5 cards in your discard pile.,Building,Useless Swamp,1,,,,For the Glory! Booster Pack (FTG) - Common,Fright Tower.jpg
Frost Dragon,Pay 1 Action >>> Freeze a Landscape in this Lane.,Creature,IcyLands,2,2,10,Ignition,Ice King's IcyLands Deck (CP4) - 2,Frost Dragon.jpg
Frosted Deanimator,Frosted Deanimator may enter play onto a Landscape that has a Frozen token on it.,Creature,IcyLands,1,2,6,Entering Play,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Frosted Deanimator.jpg
Frosted Snowwoman,"When Frosted Snowwoman enters play, Freeze both Landscapes in her Lane.",Creature,IcyLands,2,3,5,Entering Play,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Frosted Snowwoman.jpg
Frosty Frolic,Target player discards 1 card from her hand for each Landscape with a Frozen token on it she controls.,Spell,IcyLands,2,,,,Ice King's IcyLands Deck (CP4) - 2,Frosty Frolic.jpg
Frozen BanaNancy,"At the start of your Fight Phase, if there are one or more Frozen tokens in this Lane, deal 2 Damage to target opponent.",Creature,IcyLands,1,1,7,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Frozen BanaNancy.jpg
Frozen Fish,"When Frozen Fish deals Damage to a Creature, you may Freeze a Landscape in this Lane.",Creature,IcyLands,1,1,8,Trigger,Ice King's IcyLands Deck (CP4) - 2,Frozen Fish.jpg
Frozen Heart,"Deal 1 Damage to target Creature. If that Creature is on a Landscape with a Frozen token on it, deal 3 Damage instead.",Spell,Rainbow,0,,,,Ice King's IcyLands Deck (CP4) - 2,Frozen Heart.jpg
Frozen Lemon Aid,Count the number of Landscapes with Frozen tokens. Heal 1 damage from that many friendly Creatures.,Spell,IcyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Frozen Lemon Aid.jpg
Full Metal Racket,Deal 2 Damage to target Creature.,Spell,Rainbow,0,,,,For the Glory! Booster Pack (FTG) - Uncommon,Full Metal Racket.jpg
FumiGator,"Pay 1 Action, FLOOP >>> Deal 1 Damage to each opposing Creature in play.",Creature,Useless Swamp,1,1,6,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,FumiGator.jpg
Fummy,FLOOP >>> Gain 1 Action this turn.,Creature,SandyLands,1,2,7,FLOOP,Lady Rainicorn's SandyLand Deck (CP2) - 1,Fummy.jpg
Funeral Home,"Whenever a foe discards a card, your Creature in this Lane has +1 ATK until the end of turn.",Building,Useless Swamp,1,,,,Marceline's NiceLands/Useless Swamp Deck (CP4) - 1,Funeral Home.jpg
Furious Chick,Furious Chick has +1 ATK for each Damage on it.,Creature,Rainbow,0,0,5,Continuous,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Furious Chick.jpg
Furious Furor,Target Creature has +2 ATK this turn for each Flooped Creature you control.,Spell,Cornfield,1,,,,Cake's Cornfield Deck (CP6) - 2,Furious Furor.jpg
Furious Hen,Furious Hen has +1 ATK for each Damage on it.,Creature,NiceLands,2,0,10,Continuous,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Furious Hen.jpg
Furious Rooster,Furious Rooster has +1 ATK for each Damage on it.,Creature,NiceLands,1,0,8,Continuous,Marceline's NiceLands/Useless Swamp Deck (CP4) - 2,Furious Rooster.jpg
Future Scholar,"When Future Scholar enters play, if it replaced a Creature, gain 1 Action.",Creature,Blue Plains,2,2,8,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Future Scholar.jpg
Geomancer,"At the start of your turn, you may move Geomancer to an empty Landscape you control.",Creature,Blue Plains,1,2,6,,Charlie's Blue Plains/NiceLands Deck (2v2) - 2,Geomancer.jpg
Ghost,Ghost has +2 ATK while defending against a Creature that is on a Useless Swamp Landscape.,Creature,Rainbow,0,1,4,Continuous,For the Glory! Booster Pack (FTG) - Common,Ghost Chest Burster.jpg
Ghost Chest Burster,"When Ghost Chest Burster leaves play, draw the bottom card of your deck.",Creature,Useless Swamp,1,1,9,Leaving Play,For the Glory! Booster Pack (FTG) - Common,Ghost Hag.jpg
Ghost Hag,Ghost Hag has +2 ATK while defending against a Creature that is on a Blue Plains Landscape.,Creature,Rainbow,0,1,4,Continuous,For the Glory! Booster Pack (FTG) - Common,Ghost Ninja.jpg
Ghost Ninja,"When Ghost Ninja deals Damage to an opposing player, that opponent can't play Spells during his next turn.",Creature,Blue Plains,1,2,7,Continuous,For the Glory! Booster Pack (FTG) - Uncommon,Ghost Tree.jpg
Ghost Tree,Ghost Tree has +2 ATK while defending against a Creature that is on a Cornfield Landscape.,Creature,Rainbow,0,1,4,Continuous,For the Glory! Booster Pack (FTG) - Common,Ghost.jpg
Giant Mummy Hand,FLOOP >>> Deal 1 Damage to target Creature for each Cornfield Landscape adjacent to this Lane.,Creature,SandyLands,1,0,7,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Giant Mummy Hand.jpg
Giddy Giraffe,"While Giddy Giraffe has 4 or more Damage on it, it deal Damage directly to your opponent instead of the opposing Creature.",Creature,NiceLands,1,1,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2 : Charlie's Blue Plains/NiceLands Deck (2v2) - 2",Giddy Giraffe.jpg
Glacier Racer,+4 ATK if both Landscapes in this Lane have Frozen tokens on them.,Creature,IcyLands,1,2,6,Continuous,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Glacier Racer.jpg
Glorious Gramophone,"Draw 4 cards, then discard 2 cards.",Spell,Blue Plains,1,,,,Fionna's Blue Plains Deck (CP6) - 2,Glorious Gramophone.jpg
Gnome Snot,Draw 3 cards.,Spell,Blue Plains,1,,,,Finn's Blue Plains Deck (CP1) - 2,Gnome Snot.jpg
Goat,"When Goat enters play, if it replaced a Creature, draw a card.",Creature,Rainbow,0,1,4,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Goat.jpg
Gold Ninja,"When Gold Ninja enters play, deal 1 Damage to target Creature for each different Landscape type you control.",Creature,Cornfield,1,1,2,Entering Play,For the Glory! Booster Pack (FTG) - Common,Gold Ninja.jpg
Golden Axe Stump,"Whenever an opponent draws a card, deal 1 Damage to that player.",Creature,SandyLands,1,1,7,Continuous,For the Glory! Booster Pack (FTG) - Rare,Golden Axe Stump.jpg
Golden Jackal,FLOOP and discard a SandyLands card >>> Deal 1 Damage to each opposing Creature.,Creature,Cornfield,1,1,4,FLOOP,For the Glory! Booster Pack (FTG) - Common,Golden Jackal.jpg
Granary Weevil,Destroy Granary Weevil >>> Destroy target opposing Creature in this Lane and any Creature with the same name in play.,Creature,Useless Swamp,2,2,6,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Granary Weevil.jpg
Grand Mummy,"At the start of your turn, you may return Grand Mummy to its owner's hand. If you do, draw two cards.",Creature,SandyLands,1,3,3,Trigger,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Grand Mummy.jpg
Grand Prix,"Once during your turn, you may put a Creature you played this turn back into your hand, then play it for free and put 3 Damage on it.",Hero,,,,,,Doubles Tournament (2v2) - 1,Grand Prix.jpg
Grape Butt,Play only if you played a non-Cornfield card this turn. Deal 5 Damage to target Creature.,Spell,Cornfield,1,,,,For the Glory! Booster Pack (FTG) - Rare,Grape Butt.jpg
Grape Djini,"When Grape Djini enters play, if it replaced a Creature, you may put a card from your discard pile on top of your deck.",Creature,Blue Plains,1,1,6,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Grape Djini.jpg
Gray Eyebat,Pay 1 Action >>> Return a random Useless Swamp Creature from your discard pile to your hand.,Creature,Useless Swamp,1,2,7,Ignition,BMO's Useless Swamp Deck (CP2) - 2,Gray Eyebat.jpg
Green Cactiball,+2 ATK for each Green Cactiball you control.,Creature,SandyLands,1,0,4,Continuous,Lady Rainicorn's SandyLand Deck (CP2) - 2,Green Cactiball.jpg
Green Candy,Heal or deal 1 Damage to target Creature.,Spell,Rainbow,0,,,,Princess Bubblegum's NiceLands Deck (CP3) - 2,Green Candy.jpg
Green Gnome,FLOOP >>> Deal 1 Damage to each opposing Creature that is on a Blue Plains Landscape.,Creature,SandyLands,1,1,6,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Green Gnome.jpg
Green Mermaid,Destroy Green Mermaid >>> Deal 1 Damage to each opposing Creature.,Creature,Useless Swamp,1,1,9,Ignition,BMO's Useless Swamp Deck (CP2) - 2,Green Mermaid.jpg
Green Merman,"FLOOP >>> Put the top card of your deck into your discard pile, Deal Damage to each opposing Creature equal to the discarded card's Action Cost.",Creature,Useless Swamp,2,0,6,FLOOP,BMO's Useless Swamp Deck (CP2) - 1,Green Merman.jpg
Green Party Ogre,"When a Creature you control leaves play, heal 1 Damage from Green Party Ogre.",Creature,SandyLands,1,1,8,Continuous,For the Glory! Booster Pack (FTG) - Common,Green Party Ogre.jpg
Green Snakey,"When Green Snakey leaves play, deal 1 Damage to target Creature in this Lane.",Creature,SandyLands,1,1,6,Leaving Play,For the Glory! Booster Pack (FTG) - Common,Green Snakey.jpg
Green ZebraCorn,"When Green ZebraCorn attacks, deal 1 Damage to target opponent.",Creature,Cornfield,1,1,6,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Green ZebraCorn.jpg
Grizzled ZebraCorn,"When Grizzled ZebraCorn attacks, deal 2 Damage to target opponent.",Creature,Cornfield,2,2,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Grizzled ZebraCorn.jpg
Gunter,"Creatures you control on Landscapes with Frozen tokens have +1 ATK.
",Hero,,,,,,Gunter's Blue Plains/IcyLands Deck (CP5) - 1,Gunter.jpg
Ham Fist,Target Creature you control has -5 ATK this turn. Draw a card.,Spell,Rainbow,0,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Ham Fist.jpg
Harvest Moon,Put a Building from your discard pile into play.,Spell,Cornfield,2,,,,Cake's Cornfield Deck (CP6) - 1,Harvest Moon.jpg
Haybarn,"Pay 1 Action, FLOOP >>> If this Landscape is empty, play a ""Feedman"" from your discard pile onto this Landscape for free. If Haybarn leaves play, destroy the Feedman on its Landscape.",Building,Cornfield,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Haybarn.jpg
Headphone Jerk,"When Headphone Jerk enters play, if it replaced a Creature, deal 3 Damage to another Creature in this Lane.",Creature,Blue Plains,2,2,7,Entering Play,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 1,Headphone Jerk.jpg
Heavenly Gazer,FLOOP >>> Put a Spell from your discard pile on top of your deck.,Creature,Blue Plains,1,2,5,FLOOP,Finn's Blue Plains Deck (CP1) - 1,Heavenly Gazer.jpg
Helping Hand,FLOOP >>> Return a Building from your discard pile to your hand.,Creature,Rainbow,0,1,4,FLOOP,Cake's Cornfield Deck (CP6) - 2,Helping Hand.jpg
Herculeye,Discard a card >>> Herculeye has +4 ATK this turn. (Use only once during each of your turns.),Creature,Useless Swamp,2,1,6,Ignition,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Herculeye.jpg
Hot Eyebat,Play Hot Eyebat only if you have 10 or more cards in your discard pile.,Creature,Useless Swamp,1,4,4,Continuous,BMO's Useless Swamp Deck (CP2) - 2,Hot Eyebat.jpg
Hug It Out,"Destroy target Creature you control, and then destroy target Creature in its Lane.",Spell,NiceLands,1,,,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Hug It Out.jpg
Huggable Hedgehog,"While Huggable Hedgehog has 4 or more Damage on it, it deals Damage directly to your opponent instead of the opposing Creature.",Creature,NiceLands,2,3,8,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 2",Huggable Hedgehog.jpg
Hunkclops,,Creature,Rainbow,1,3,3,,Cake's Cornfield Deck (CP6) - 2,Hunkclops.jpg
Huntress Wizard,"At the start of the game, choose a word with 3 or more letters. Whenever you play a card with that word in its name, deal 1 Damage to target Creature an opponent controls.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Huntress Wizard.jpg
Husker Amulet,Each of your Creature has +2 ATK this turn while attacking a Creature that is on a NiceLands Landscape.,Spell,Cornfield,1,,,,For the Glory! Booster Pack (FTG) - Common,Husker Amulet.jpg
Husker Champion,Husker Champion has +2 ATK and +2 DEF if you control a Building on this Landscape.,Creature,Cornfield,1,1,4,Continuous,Cake's Cornfield Deck (CP6) - 2,Husker Champion.jpg
Husker Garrison,Your Creature on this Landscape has +1 ATK and +1 DEF for each Cornfield Creature you control.,Building,Cornfield,2,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Husker Garrison.jpg
Husker Knight,Husker Knight has +1 ATK and +2 DEF for each Cornfield Landscape you control.,Creature,Cornfield,2,X,X,Continuous,Jake's Cornfield Deck (CP1) - 2 : For the Glory! Booster Pack (FTG) - Uncommon,Husker Knight.jpg
Husker Valkyrie,Husker Valkyrie has +2 ATK and +2 DEF if you control a Building on this Landscape.,Creature,Cornfield,2,2,6,Continuous,Cake's Cornfield Deck (CP6) - 2,Husker Valkyrie.jpg
Husker Worm,"When Husker Worm enters play, flip a Cornfield Landscape you control face down.",Creature,Cornfield,1,5,4,Entering Play,Jake's Cornfield Deck (CP1) - 2,Husker Worm.jpg
Husky Parrotrooper,"When Husky Parrotrooper enters play, move it to any empty Landscape, and then flip that Landscape face down.",Creature,Rainbow,2,2,4,Entering Play,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Husky Parrotrooper.jpg
Hydromancer,"When Hydromancer enters into play, you may reveal cards from the top of your deck until you reveal a Teamwork, and then play it for free. Shuffle the other revealed cards into your deck.",Creature,Blue Plains,2,3,6,Entering Play,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Hydromancer.jpg
Ice Base,"When Ice Base enters play, Freeze both Landscapes in this Lane. You may play Creatures onto this Landscape even while Frozen.",Building,IcyLands,2,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Ice Base.jpg
Ice Cream Captain,Ice Cream Captain costs 1 less to play for each player that has a Landscape with a Frozen token on it.,Creature,IcyLands,4,4,8,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Ice Cream Captain.jpg
Ice Cream Sammy,"Pay 1 Action, FLOOP >>> Choose a Lane, Freeze both Landscapes in that Lane.",Creature,IcyLands,1,2,7,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,Ice Cream Sammy.jpg
Ice King,"The first time a Creature you control attacks down an empty Lane during each of your turns, it has +1 ATK.",Hero,,,,,,Ice King's IcyLands Deck (CP4) - 1,Ice King.jpg
Ice Sing,Freeze 1 of each player's target Landscapes and then draw a card.,Spell,IcyLands,1,,,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 1,Ice Sing.jpg
Icemeister,"At the start of your turn, deal 1 Damage to each Creature on a Landscape with a Frozen token on it.",Creature,IcyLands,2,1,10,Continuous,Ice King's IcyLands Deck (CP4) - 2,Icemeister.jpg
Ice-olation Cell,Creatures on Landscapes with a Frozen token on it in this Lane cannot Attack or use abilities.,Building,IcyLands,1,,,,Ice King's IcyLands Deck (CP4) - 1,Ice-olation Cell.jpg
Icy Commando,Icy Commando has +1 ATK for each Landscape with a Frozen token on it.,Creature,IcyLands,1,1,7,Continuous,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Icy Commando.jpg
Icy Infiltrator,"When Icy Infiltrator enters play, Freeze its Landscape.",Creature,Rainbow,0,1,5,Entering Play,Gunter's Blue Plains/IcyLands Deck (CP5) - 2 : Grand Prix's SandyLands/IcyLands Deck (2v2) - 1 : Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,Icy Infiltrator.jpg
Icy Intruder,"Pay 1 Action, FLOOP >>> Freeze target Landscape.",Creature,IcyLands,1,1,8,FLOOP,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Icy Intruder.jpg
Igloo of Sanctuary,"FLOOP >>> If your Creature in this Lane moved here from another Lane this turn, it has +3ATK this turn.",Building,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Common,Igloo of Sanctuary.jpg
Immortal Maize Walker,"While Immortal Maize Walker is on a Cornfield Landscape, it deals triple Damage.",Creature,Useless Swamp,2,2,8,Continuous,BMO's Useless Swamp Deck (CP2) - 2 : For the Glory! Booster Pack (FTG) - Common,Immortal Maize Walker.jpg
Impossible Possum,"When this card is placed into your discard pile from anywhere, you may discard a card from your hand to return Impossible Possum to your hand.",Creature,Blue Plains,2,2,8,,Fionna's Blue Plains Deck (CP6) - 2,Impossible Possum.jpg
Incredible Egg,Reveal the top 2 cards of your deck. You may put a revealed Cornfield card into your hand. Discard the rest.,Spell,Rainbow,0,,,,For the Glory! Booster Pack (FTG) - Common,Incredible Egg.jpg
Industrial Assassin,"Destroy a Creature you control, FLOOP >>> Draw a card.",Creature,Blue Plains,1,2,6,FLOOP,Gunter's Blue Plains/IcyLands Deck (CP5) - 2,Industrial Assassin.jpg
Infant Scholar,"If you played one or more Rainbow cards this turn, Infant Scholar has +3 ATK this turn.",Creature,Blue Plains,1,1,6,,Fionna's Blue Plains Deck (CP6) - 2,Infant Scholar.jpg
Infinite Figure,Discard a card >>> Deal 1 Damage to another Creature in this Lane. (Use any number of times during each of your turns.),Creature,Useless Swamp,1,1,6,Ignition,Lumpy Space Princess' Blue Plains/Useless Swamp Deck (Totally Rad Deck) (CP3) - 2,Infinite Figure.jpg
Infinite Haymaker,"Deal damage to yourself equal to target Creature's remaining DEF, then destroy it.",Spell,Cornfield,1,,,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",Infinite Haymaker.jpg
InstiGator,"When InstiGator enters play, move target opposing Creature into InstiGator's Lane (if empty).",Creature,Useless Swamp,2,5,3,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,InstiGator.jpg
InvestiGator,"FLOOP >>> Reveal the top 3 cards of your deck. Play a revealed Teamwork for free, and then discard the other cards.",Creature,Useless Swamp,2,3,8,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,InvestiGator.jpg
IrriGator,"While IrriGator is on an Icylands Landscape, it has +2 ATK.",Creature,Useless Swamp,1,1,5,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 2,IrriGator.jpg
Jake,Creatures on facedown Landscapes you control have +2 ATK.,Hero,,,,,,Hero Pack #1 (HP1) - 1,Jake.jpg
Jake [Doubles Tournament],"Once during your turn, when a Creature you control damages an opponent, you may deal 1 Damage to target Creature in one of your Lanes.",Hero,,,,,,Doubles Tournament (2v2) - 1,Jake [Doubles Tournament].jpg
Jinx,"Choose two players. Each reveals a random card from their hand. If their costs don't match, they discard those cards.",Spell,Rainbow,0,,,,Moniker's Useless Swamp/IcyLands Deck (2v2) - 1,Jinx.jpg
Jinxed Parrotrooper,"When Jinxed Parrotrooper enters play, move it to any empty Landscape. It cannot be replaced. At the start of your turn, discard a card.",Creature,Rainbow,1,1,5,Entering Play,Lemongrab's Cornfield/SandyLands Deck (CP5) - 2,Jinxed Parrotrooper.jpg
Kernel Queen,Kernel Queen has +1 ATK for each Flooped Creature you control.,Creature,Cornfield,1,1,6,Continuous,Cake's Cornfield Deck (CP6) - 1,Kernel Queen.jpg
King Baby,"Pay 1 Action, FLOOP >>> Deal 1 Damage to target Creature for each Cornfield Landscape you control.",Creature,Cornfield,2,2,7,,"Jake's Cornfield/NiceLands Deck
 (2v2) - 1",King Baby.jpg
Knit Kitty,Knit Kitty is affected by Buildings on adjacent Landscapes.,Creature,NiceLands,2,3,7,,Charlie's Blue Plains/NiceLands Deck (2v2) - 1,Knit Kitty.jpg
Kung Fu Power,"Ready 1 Creature of each type you control. (The types are Cornfield, Rainbow, Useless Swamp, Blue Plains, NiceLands and SandyLands.)",Spell,Blue Plains,1,,,,For the Glory! Booster Pack (FTG) - Rare,Kung Fu Power.jpg
Lady Beetle,"At the start of your turn, you may return a Creature you control with 2 or fewer DEF remaining to its owner's hand.",Creature,SandyLands,1,1,9,Trigger,For the Glory! Booster Pack (FTG) - Rare,Lady Beetle.jpg
Lady Rainicorn,"If you return two or more Creatures to your hand from play or your discard pile during your turn, heal 2 HP.",Hero,,,,,,Hero Pack #1 (HP1) - 1,Lady Rainicorn.jpg
Learning Center,Learning Center gains the game text of Buildings you control in adjacent Lanes (but not their names).,Building,Blue Plains,2,,,,Fionna's Blue Plains Deck (CP6) - 1,Learning Center.jpg
Legion of Earlings,"When Legion of Earlings enters play, you may return target Creature in this Lane to its owner's hand.",Creature,Cornfield,2,2,8,Entering Play,Jake's Cornfield Deck (CP1) - 2,Legion of Earlings.jpg
Lemongrab,"At the start of your Fight Phase, if you have 1 or more empty Landscapes, gain 1 HP. (Can't go over 25.)",Hero,,,,,,Lemongrab's Cornfield/SandyLands Deck (CP5) - 1,Lemongrab.jpg
Life Beater Gnome,FLOOP >>> Deal 1 Damage to each opposing Creature that is on a SandyLands Landscape.,Creature,NiceLands,1,1,6,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Life Beater Gnome.jpg
Lifeguard Lobster,"Each time another creature enters play during your turn, you must heal 1 Damage from another Creature.",Creature,SandyLands,2,2,9,,Grand Prix's SandyLands/IcyLands Deck (2v2) - 2,Lifeguard Lobster.jpg
Lime Slimey,"If you control 3 or more different Landscape types when Lime Slimey enters play, draw 2 cards.",Creature,SandyLands,1,2,6,Entering Play,For the Glory! Booster Pack (FTG) - Uncommon,Lime Slimey.jpg
Little Freezy,+1 DEF for each different Landscape type you control.,Creature,Blue Plains,2,4,1,Continuous,For the Glory! Booster Pack (FTG) - Common,Little Freezy.jpg
Log Knight,FLOOP >>> Put a Building from your hand below this Lane. (If it doesn't already have one.),Creature,Cornfield,1,2,2,FLOOP,For the Glory! Booster Pack (FTG) - Uncommon,Log Knight.jpg
Log Rhythm,Each Creature you control with a Building on its Landscape had +2 ATK this turn.,Spell,Cornfield,1,,,,Cake's Cornfield Deck (CP6) - 2,Log Rhythm.jpg
